id,title,content,tags
kb-001,What is a credit score?,"A credit score is a three-digit number, usually between 300 and 900, that summarises how reliably you have repaid borrowed money in the past. Lenders use it to decide whether to approve a loan or credit card, and at what interest rate. In India it is calculated by credit bureaus such as CIBIL, Equifax, and Experian using the repayment data reported by your banks and lenders.",credit score;basics;cibil;equifax
kb-002,What counts as a good credit score?,"Generally, a score of 750 or above is considered good and improves your chances of loan approval at better interest rates. 650-749 is fair, and below 650 may lead to rejections or higher interest rates. Different bureaus can show slightly different scores for the same person because they may not all have identical reporting data.",credit score;good score;range
kb-003,What factors affect your credit score?,"Five main factors affect your credit score: payment history (paying EMIs and bills on time is the biggest factor), credit utilization (how much of your available credit limit you're using — lower is better), length of credit history, credit mix (a healthy balance of secured and unsecured credit), and the number of recent hard inquiries (too many loan/card applications in a short time can lower your score).",credit score;factors;utilization;payment history
kb-004,What is credit utilization and what ratio is ideal?,"Credit utilization is the percentage of your total available credit limit that you are currently using across all your credit cards. For example, if your total limit is Rs. 1,00,000 and your outstanding balance is Rs. 30,000, your utilization is 30%. Keeping utilization below 30% is generally considered good for your credit score; going above 50% regularly can start to pull your score down.",credit utilization;credit card;ratio
kb-005,Does checking my own credit score lower it?,"No. Checking your own credit score — like you do in the GoodScore app — is called a soft inquiry and has no impact on your score. Only a hard inquiry, which happens when a lender checks your report because you formally applied for a loan or credit card, can cause a small, temporary dip.",soft inquiry;hard inquiry;myth;credit check
kb-006,What is a hard inquiry vs a soft inquiry?,"A soft inquiry happens when you check your own score or when a company does a background check without it being tied to a credit application — it is invisible to lenders and doesn't affect your score. A hard inquiry happens when you apply for a loan, credit card, or similar credit product and the lender pulls your report to decide whether to approve you — this is visible to other lenders and can cause a small, temporary drop in your score if there are several in a short period.",hard inquiry;soft inquiry;credit report
kb-007,How often does my credit score refresh?,"Credit bureaus typically update your score every 30 to 45 days as lenders report new repayment data to them. In the GoodScore app, you can request an on-demand score refresh once your last update is at least 30 days old — refreshing more often than that usually won't show a different number because the bureau's underlying data hasn't changed yet.",score refresh;update frequency;bureau
kb-008,What is an EMI and how does missing one affect my score?,"EMI stands for Equated Monthly Instalment — a fixed monthly payment you make to repay a loan or credit card balance over time, covering both principal and interest. Missing an EMI payment is reported to the credit bureaus by your lender, usually after a short grace period, and can meaningfully lower your credit score because payment history is the single biggest factor bureaus look at. Paying even a few days late repeatedly can have a similar effect to a full miss.",emi;missed payment;credit score impact
kb-009,How do I dispute an error on my credit report?,"If you spot an account, balance, or payment status on your credit report that looks incorrect, you can raise a dispute directly with the credit bureau (CIBIL, Equifax, or Experian) that issued the report, or with the lender that reported the information. The bureau typically investigates within 30 days and corrects the record if the lender confirms the error. Keep any supporting documents, like payment receipts, handy when you raise the dispute.",dispute;credit report error;correction
kb-010,What does GoodScore's subscription include?,"A GoodScore subscription gives you ongoing access to your credit score and report from a linked bureau, monthly refreshes, a score simulator to see how actions like paying down a card might affect your score, and alerts if something changes on your report. You can check your plan status, renewal date, and autopay settings any time from the app's account settings.",subscription;goodscore plan;monitoring
kb-011,What is a NOC and why does it matter after closing a loan?,"A No Objection Certificate (NOC) is a document your lender issues after you've fully repaid a loan, confirming you have no further dues. It's important to collect and keep the NOC because it's the proof lenders and bureaus rely on to correctly mark the account as closed on your credit report — without it, an account can occasionally keep showing as active even after you've paid it off.",noc;loan closure;no objection certificate
kb-012,Does GoodScore ever ask for my OTP?,"No. GoodScore will never call, message, or email you asking for an OTP, PIN, or password. Anyone claiming to be from GoodScore and asking for your OTP is attempting fraud — do not share it, and report the contact through the app's support option.",otp;fraud;security
